0.04	0.64	0.6416
0.04	0.65	0.651
0.04	0.66	0.6604
0.04	0.67	0.6698
0.04	0.68	0.6792
0.04	0.69	0.6886
0.04	0.7	0.698
0.04	0.71	0.7074
0.04	0.72	0.7168
0.04	0.73	0.7262
0.04	0.74	0.7356
0.04	0.75	0.745
0.04	0.76	0.7544
0.04	0.77	0.7638
0.04	0.78	0.7732
0.04	0.79	0.7826
0.04	0.8	0.792
0.04	0.81	0.8014
0.04	0.82	0.8108
0.04	0.83	0.8202
0.04	0.84	0.8296
0.04	0.85	0.839
0.04	0.86	0.8484
0.04	0.87	0.8578
0.04	0.88	0.8672
0.04	0.89	0.8766
0.04	0.9	0.886
0.04	0.91	0.8954
0.04	0.92	0.9048
0.04	0.93	0.9142
0.04	0.94	0.9236
0.04	0.95	0.933
0.04	0.96	0.9424
0.04	0.97	0.9518
0.04	0.98	0.9612
0.04	0.99	0.9706

0.05	0	0.05
0.05	0.01	0.05925
0.05	0.02	0.0685
0.05	0.03	0.07775
0.05	0.04	0.087
0.05	0.05	0.09625
0.05	0.06	0.1055
0.05	0.07	0.11475
0.05	0.08	0.124
0.05	0.09	0.13325
0.05	0.1	0.1425
0.05	0.11	0.15175
0.05	0.12	0.161
0.05	0.13	0.17025
0.05	0.14	0.1795
0.05	0.15	0.18875
0.05	0.16	0.198
0.05	0.17	0.20725
0.05	0.18	0.2165
0.05	0.19	0.22575
0.05	0.2	0.235
0.05	0.21	0.24425
0.05	0.22	0.2535
0.05	0.23	0.26275
0.05	0.24	0.272
0.05	0.25	0.28125
0.05	0.26	0.2905
0.05	0.27	0.29975
0.05	0.28	0.309
0.05	0.29	0.31825
0.05	0.3	0.3275
0.05	0.31	0.33675
0.05	0.32	0.346
0.05	0.33	0.35525
0.05	0.34	0.3645
0.05	0.35	0.37375
0.05	0.36	0.383
0.05	0.37	0.39225
0.05	0.38	0.4015
0.05	0.39	0.41075
0.05	0.4	0.42
0.05	0.41	0.42925
0.05	0.42	0.4385
0.05	0.43	0.44775
0.05	0.44	0.457
0.05	0.45	0.46625
0.05	0.46	0.4755
0.05	0.47	0.48475
0.05	0.48	0.494
0.05	0.49	0.50325
0.05	0.5	0.5125
0.05	0.51	0.52175
0.05	0.52	0.531
0.05	0.53	0.54025
0.05	0.54	0.5495
0.05	0.55	0.55875
0.05	0.56	0.568
0.05	0.57	0.57725
